address,weighted_balance_wei,weighted_balance,share_pct
0x061B84FDe0aa74ecbF8eCDB0481576feE9Ae35aa,464580986429283709,0.464580986429283709,0.000020
0xF06b3310486F872AB6808f6602aF65a0ef0F48f8,270170984379512289,0.270170984379512289,0.000012
0x20D2BF9B7191c6b2CCCF74d35C3A3FFfc8f1906E,264231038322988708,0.264231038322988708,0.000012
0x11Cb2cA2Acc4421d154eBE4C27C351511C1FDb09,120000000000000000,0.12,0.000005
0x803c7dEa214EcfB35959259Cd3d845Ed3fC461ac,112326991031736511,0.112326991031736511,0.000005
0x95a75954E119fE9ADF141faAd5B5606C49F57530,110000000000000000,0.11,0.000005
0x79ccEDbEFbfE6c95570d85e65f8B0aC0D6bd017B,101000000000000000,0.101,0.000004
0xbAaf95E36563DaDc070f858D083EF49251102d73,100000000000000000,0.1,0.000004
0x96372A38B49ADfa0f76186Fa7BaF5C25D751973a,100000000000000000,0.1,0.000004
0x76AC6Ad4e4E7c2e0b4Ceeb30745bd53df3a85774,100000000000000000,0.1,0.000004
0x707D306714FF28560f32bF9DAE973BD33cd851c5,100000000000000000,0.1,0.000004
0x4ce6a80a5ea934ce74d447813E9A4fBF10477Ef7,81061620003874770,0.08106162000387477,0.000004
0xAEAf8371BF9Df3eDB08BDD7D05099D49965fDf59,65000000000000000,0.065,0.000003
0x00432772Ed25d4Eb3C6EB26Dc461239b35cf8760,50000000000000000,0.05,0.000002
0xa61AC31A55690F3bf65fC7d67052693Da564882b,43000000000000000,0.043,0.000002
0x4AeF8B6CA98cA20087E6b0827a50868172A32AFd,42000000000000000,0.042,0.000002
0x787c8bE38E968Bd0b41eaAbe0b69d1c32ea09262,21000000000000000,0.021,0.000001
0x344b1E4Ac175f16D3bA40A688cA928E3768E275a,21000000000000000,0.021,0.000001
0xaED00848aa4CCe7108Df8b544D6c5942585d0251,20100000000000000,0.0201,0.000001
0x48715117c6Ff3a0CAcBe52f6F589c0960b2B2C3b,20000000000000000,0.02,0.000001
0x378E24F25cf44707773dCF0006a765bF82715F21,20000000000000000,0.02,0.000001
0x2D5823E8e8B4dfbf599a97566ff2A121Cc141d60,20000000000000000,0.02,0.000001
0x71F74e50f233c7fe568FAF3E7D96fD611f601b86,15671034822667960,0.01567103482266796,0.000001
0x0516cf37B67235E07aF38ad8E388d0E68089b0F2,15000000000000000,0.015,0.000001
0xD03Ad690ed8065EDfdC1E08197a3ebC71535A7ff,12100000000000000,0.0121,0.000001
0x70958fF8aD02b723B737f60121DB6F91F7d5aB30,12000000000000000,0.012,0.000001
0x4AAC14D2B2df7c341148CD8244785Bad368480a9,12000000000000000,0.012,0.000001
0xF3aF54ff7f0A1c29fbD45D37649edBcEFAD6e508,12000000000000000,0.012,0.000001
0xc268d31cAd28a782C4373090e99FF80E1ABfcd58,11750762419344890,0.01175076241934489,0.000001
0xAB4808Aa4FeAF0014624D624B4D090F1F297E249,8000000000000000,0.008,0.000000
0x6Cb966F5524A9358050cb0e2CDAcFD8B3A8a36CB,7000000000000000,0.007,0.000000
0x0B954eAeF953811DE0dAAaA339E40350feeF51C8,6800000000000000,0.0068,0.000000
0x18355bd74D1c2aa00BA7d34d3DCE8c0bDC04e62F,2880592849898280,0.00288059284989828,0.000000
0xb2327fE1486E67134146a8fa1B5dabaE20925C32,2300000000000000,0.0023,0.000000
0xF7EA87c79c3790FB5236D5698FB5817a2f6A3E1f,2200000000000000,0.0022,0.000000
0x9FA7d42Ef9eb89ef6FAbDdE88207FbE6AfA70626,2100000000000000,0.0021,0.000000
0x0E26F5bd12EafaE9753E2741f2dc151bE894070A,1600000000000000,0.0016,0.000000
0x1b5b4fCEDF1252cd92496a2fd5C593b39aC49b01,1200000000000000,0.0012,0.000000
0xfD82C31929F370D00168DF5B5B0c9B8f80bC4315,1077000000000000,0.001077,0.000000
0xa388Da0D53753d0E007b265AAd81dD407cbbbDAA,660000000000000,0.00066,0.000000
0x972a8B7D891B88220780421fE4D11f174354cEEd,600000000000000,0.0006,0.000000
0xc97370F22eD5ac4c7B24A8E1ca9D81FEbb3b9457,230000000000000,0.00023,0.000000
0x119383B0051e920D6161cEe971247D625B8D69Cb,200000000000000,0.0002,0.000000
0x0fF9B6AB6Ec58ceB6D5ae8a1690dd5a0959aD002,160000000000000,0.00016,0.000000
